YYYY-mm-dd,resid_norm_20d,resid_norm_q5,resid_norm_q95,nobs,country
2018-01-01,-26.4604,-48.5348,6.3387,35,CzechRepublic
2018-01-02,-16.7059,-34.6870,-4.7896,36,CzechRepublic
2018-01-03,-14.6376,-32.6947,0.4494,35,CzechRepublic
2018-01-04,-13.8422,-32.2822,-1.6800,35,CzechRepublic
2018-01-05,-13.8814,-27.1665,2.9953,36,CzechRepublic
2018-01-06,-12.5272,-24.7517,5.9714,36,CzechRepublic
2018-01-07,-12.8392,-22.4646,2.6188,36,CzechRepublic
2018-01-08,-13.2487,-20.2052,1.4193,36,CzechRepublic
2018-01-09,-11.3028,-19.5537,0.1334,36,CzechRepublic
2018-01-10,-9.3667,-17.7589,0.5190,36,CzechRepublic
2018-01-11,-9.0968,-17.4376,0.4511,36,CzechRepublic
2018-01-12,-8.1150,-16.0577,-0.7312,36,CzechRepublic
2018-01-13,-8.9740,-15.5738,-1.8121,36,CzechRepublic
2018-01-14,-9.2051,-15.5953,-1.9629,36,CzechRepublic
2018-01-15,-9.1823,-16.3988,-3.8013,36,CzechRepublic
2018-01-16,-9.5370,-15.3291,-3.4134,36,CzechRepublic
2018-01-17,-8.8946,-14.2576,-2.5499,36,CzechRepublic
2018-01-18,-7.5241,-14.3271,-2.6982,36,CzechRepublic
2018-01-19,-7.0572,-13.8137,-1.8876,36,CzechRepublic
2018-01-20,-6.5664,-14.0221,-1.6426,36,CzechRepublic
2018-01-21,-5.4450,-13.9185,-0.5431,35,CzechRepublic
2018-01-22,-4.5327,-11.6714,0.8953,36,CzechRepublic
2018-01-23,-3.4441,-10.6169,2.6612,36,CzechRepublic
2018-01-24,-2.3036,-8.5981,2.5197,36,CzechRepublic
2018-01-25,-2.9095,-7.9916,2.0007,36,CzechRepublic
2018-01-26,-3.1934,-7.7863,2.1302,36,CzechRepublic
2018-01-27,-1.9048,-5.5123,3.0423,35,CzechRepublic
2018-01-28,-0.7816,-5.2507,4.7875,35,CzechRepublic
2018-01-29,-1.2555,-5.2688,5.5993,36,CzechRepublic
2018-01-30,-0.9498,-5.1244,4.9532,35,CzechRepublic
2018-01-31,0.0082,-4.2251,5.3102,35,CzechRepublic
2018-02-01,-0.7085,-4.8235,4.1553,35,CzechRepublic
2018-02-02,-0.0595,-5.5068,4.4630,36,CzechRepublic
2018-02-03,0.4994,-4.8122,4.1175,36,CzechRepublic
2018-02-04,1.2529,-4.3653,5.4690,0,CzechRepublic
2018-02-05,0.9588,-5.1308,5.8623,36,CzechRepublic
2018-02-06,0.3392,-5.2817,5.7291,36,CzechRepublic
2018-02-07,0.6335,-4.3624,5.5248,36,CzechRepublic
2018-02-08,0.9175,-5.4545,6.1774,36,CzechRepublic
2018-02-09,1.1756,-6.1393,7.1633,36,CzechRepublic
2018-02-10,2.0329,-4.4881,6.7850,34,CzechRepublic
2018-02-11,1.7391,-4.1991,6.3030,36,CzechRepublic
2018-02-12,1.6278,-4.1605,5.8219,36,CzechRepublic
2018-02-13,1.1556,-4.6975,6.3605,36,CzechRepublic
2018-02-14,1.3824,-4.7829,6.7215,36,CzechRepublic
2018-02-15,1.7046,-4.2466,7.2940,36,CzechRepublic
2018-02-16,2.3635,-4.8682,8.3112,36,CzechRepublic
2018-02-17,2.4400,-4.5366,9.0420,36,CzechRepublic
2018-02-18,2.3994,-4.2327,8.2701,34,CzechRepublic
2018-02-19,2.3551,-3.2625,7.8233,35,CzechRepublic
2018-02-20,2.9173,-4.0786,7.8907,36,CzechRepublic
2018-02-21,3.4282,-3.5008,8.3628,36,CzechRepublic
2018-02-22,3.6433,-4.1783,8.8794,36,CzechRepublic
2018-02-23,3.6407,-5.7258,8.8260,36,CzechRepublic
2018-02-24,3.2783,-6.4637,8.6801,36,CzechRepublic
2018-02-25,3.3727,-6.7227,8.3224,35,CzechRepublic
2018-02-26,4.0799,-6.8303,7.9872,36,CzechRepublic
2018-02-27,3.1918,-5.9061,7.7816,36,CzechRepublic
2018-02-28,3.0858,-6.2373,8.3942,36,CzechRepublic
2018-03-01,2.2216,-7.5236,8.2734,36,CzechRepublic
2018-03-02,2.5950,-5.3836,8.5120,36,CzechRepublic
2018-03-03,1.9635,-4.5514,8.7907,35,CzechRepublic
2018-03-04,2.6587,-4.0621,8.3745,35,CzechRepublic
2018-03-05,2.8694,-3.6264,8.0810,36,CzechRepublic
2018-03-06,3.8958,-2.8919,8.3962,36,CzechRepublic
2018-03-07,4.0157,-3.0603,8.9484,36,CzechRepublic
2018-03-08,3.2579,-3.7096,10.1318,36,CzechRepublic
2018-03-09,3.9935,-4.4500,9.5722,36,CzechRepublic
2018-03-10,4.4356,-4.0332,11.6974,36,CzechRepublic
2018-03-11,4.6585,-3.6968,12.7161,35,CzechRepublic
2018-03-12,4.5423,-4.8570,11.9321,35,CzechRepublic
2018-03-13,4.8918,-4.4691,11.6240,36,CzechRepublic
2018-03-14,4.5454,-5.4007,11.4693,34,CzechRepublic
2018-03-15,4.0225,-6.0260,11.4302,36,CzechRepublic
2018-03-16,3.6619,-6.2342,11.2677,36,CzechRepublic
2018-03-17,3.6161,-4.9440,11.8047,34,CzechRepublic
2018-03-18,3.6266,-6.3013,10.8932,33,CzechRepublic
2018-03-19,3.6672,-7.1357,10.3551,34,CzechRepublic
2018-03-20,3.5953,-7.4286,9.7820,35,CzechRepublic
2018-03-21,0.9025,-6.2862,9.2635,33,CzechRepublic
