,Type,ALB,DZA,AGO,ARG,ARM,AUS,AUT,AZE,BHR,BGD,BLR,BEL,BEN,BOL,BIH,BWA,BRA,BRN,BGR,KHM,CMR,CAN,CHL,CHN,COL,COG,CRI,CIV,HRV,CUB,CUW,CYP,CZE,PRK,COD,DNK,DOM,ECU,EGY,SLV,ERI,EST,ETH,FIN,FRA,GAB,GEO,DEU,GHA,GIB,GRC,GTM,HTI,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KOR,RKS,KWT,KGZ,LVA,LBN,LBY,LTU,LUX,MYS,MLT,MUS,MEX,MDA,MNG,MNE,MAR,MOZ,MMR,NAM,NPL,NLD,NZL,NIC,NER,NGA,MKD,NOR,OMN,PAK,PAN,PRY,PER,PHL,POL,PRT,QAT,ROU,RUS,SAU,SEN,SRB,SGP,SVK,SVN,ZAF,SSD,ESP,LKA,SDN,SUR,SWE,CHE,SYR,TWN,TJK,TZA,THA,TGO,TTO,TUN,TUR,TKM,UKR,ARE,GBR,USA,URY,UZB,VEN,VNM,YEM,ZMB,ZWE,AIR,SEA
0,Name,Albania,Algeria,Angola,Argentina,Armenia,Australia,Austria,Azerbaijan,Bahrain,Bangladesh,Belarus,Belgium,Benin,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,Brunei Darussalam,Bulgaria,Cambodia,Cameroon,Canada,Chile,China,Colombia,Congo,Costa Rica,Côte d'Ivoire,Croatia,Cuba,Curaçao,Cyprus,Czech Republic,North Korea,Democratic Republic of the Congo,Denmark,Dominican Republic,Ecuador,Egypt,El Salvador,Eritrea,Estonia,Ethiopia,Finland,France,Gabon,Georgia,Germany,Ghana,Gibraltar,Greece,Guatemala,Haiti,Honduras,Hong Kong,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,South Korea,Kosovo,Kuwait,Kyrgyzstan,Latvia,Lebanon,Libya,Lithuania,Luxembourg,Malaysia,Malta,Mauritius,Mexico,Moldova,Mongolia,Montenegro,Morocco,Mozambique,Myanmar,Namibia,Nepal,Netherlands,New Zealand,Nicaragua,Niger,Nigeria,North Macedonia,Norway,Oman,Pakistan,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russian Federation,Saudi Arabia,Senegal,Serbia,Singapore,Slovakia,Slovenia,South Africa,South Sudan,Spain,Sri Lanka,Sudan,Suriname,Sweden,Switzerland,Syria,Tapei,Tajikistan,Tanzania,Thailand,Togo,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Ukraine,United Arab Emirates,United Kingdom,USA,Uruguay,Uzbekistan,Venezuela,Vietnam,Yemen,Zambia,Zimbabwe,IntlAIR,IntlSEA
1,Units,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,ktperdayCO,KtperdayCO,KtperdayCO
2,Base_em,0.20842484735890413,1.7515059042602736,6.608550917041096,20.322801661249315,0.17378267057260272,7.702941100066823,1.8640081109629514,0.4850496239945205,0.5463453621575343,9.714922909150685,1.4443210912958906,1.1007858168063207,2.9541532928794525,2.6126776607397257,1.2082836839890407,0.7953631717808223,79.54227919718117,0.2695215562876712,0.7974752087353701,6.343927039643837,3.6208297123835615,14.361600137589633,5.615912842132603,355.2989191847126,9.134710621238357,1.2358425419320547,1.2399939860950686,5.296474883042466,0.7919364556179262,1.7642218501287672,,0.062165709517835614,2.3120798063887724,2.312411409315069,15.925096766575338,0.8621615941503461,1.6035907573068493,4.413845173400001,4.128638818,1.169464953150685,0.5443236807671232,0.29487377554152877,32.195467777589045,1.6337493643387508,7.335723457094163,1.326868127150685,0.4073275886739726,9.712880612882199,4.722742694438357,0.004707831756164385,1.1793941697884247,5.615338451950685,4.1118975501369865,3.879066982375342,0.4861312822986302,1.6469677479364102,0.3026813873259452,200.53301045389608,87.42542256373697,27.78145284068245,6.693451435830137,0.3364980722088285,0.34495341088401915,6.092189631692616,1.877021676849315,16.03220066164769,0.2128551983123288,4.532652928580027,12.583949962986301,10.988968197900835,,0.4534565572438357,0.3434541710328767,0.47521044026328757,0.5267931464339726,5.177000455512329,0.5535459231885973,0.05741380045537534,9.765725476438353,0.018569606853879452,0.1658033628630137,27.321027362006298,0.3150372608224658,1.3307217667972602,,0.9139870453506849,5.995919947230137,13.171987484139724,0.4445833246821918,6.147854961643838,1.4772201966034986,0.7701813417041096,2.048219481610959,1.961800125671233,68.8596939980822,0.18670128220472823,1.0183877218059698,0.7263066042739726,32.19268014605479,1.60640069339726,3.719562310423836,4.622782934347354,14.321338253561644,5.761575091459649,0.7751110142292222,0.4433746137863014,2.6741518829402744,24.35139729329753,5.087191453726027,1.7335560410410953,,0.522907480032877,0.7757088319016932,0.36575729156061654,18.084896427166385,,3.9755584041272556,5.047029504136986,7.210057083780823,0.12147233430410957,1.5507970661498793,0.6425262688175616,0.35263003235616436,8.63467025326908,0.46647757800821915,13.500101942246578,29.561431506443835,2.1314713950660273,0.45904589134630147,0.9993475618235617,9.622079846425873,0.8006044656986302,5.8146546126919185,2.35097954,3.895422008697345,139.41014066367106,1.9996135055342474,1.040963213961644,17.67514184816438,24.90841649497808,0.4013940676082191,5.200026477460273,4.556685198591779,0.6732860263224044,2.2695524631704123
3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.003628906849315069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.008207504817466684,-0.004286765558126125
6,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.003628906849315069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.008207504817466684,-0.004286765558126125
7,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.003628906849315069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.008207504817466684,-0.004286765558126125
8,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.003628906849315069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.008207504817466684,-0.004286765558126125
9,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.003628906849315069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.008207504817466684,-0.004286765558126125
