,Type,ALB,DZA,AGO,ARG,ARM,AUS,AUT,AZE,BHR,BGD,BLR,BEL,BEN,BOL,BIH,BWA,BRA,BRN,BGR,KHM,CMR,CAN,CHL,CHN,COL,COG,CRI,CIV,HRV,CUB,CUW,CYP,CZE,PRK,COD,DNK,DOM,ECU,EGY,SLV,ERI,EST,ETH,FIN,FRA,GAB,GEO,DEU,GHA,GIB,GRC,GTM,HTI,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KOR,RKS,KWT,KGZ,LVA,LBN,LBY,LTU,LUX,MYS,MLT,MUS,MEX,MDA,MNG,MNE,MAR,MOZ,MMR,NAM,NPL,NLD,NZL,NIC,NER,NGA,MKD,NOR,OMN,PAK,PAN,PRY,PER,PHL,POL,PRT,QAT,ROU,RUS,SAU,SEN,SRB,SGP,SVK,SVN,ZAF,SSD,ESP,LKA,SDN,SUR,SWE,CHE,SYR,TWN,TJK,TZA,THA,TGO,TTO,TUN,TUR,TKM,UKR,ARE,GBR,USA,URY,UZB,VEN,VNM,YEM,ZMB,ZWE,AIR,SEA
0,Name,Albania,Algeria,Angola,Argentina,Armenia,Australia,Austria,Azerbaijan,Bahrain,Bangladesh,Belarus,Belgium,Benin,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,Brunei Darussalam,Bulgaria,Cambodia,Cameroon,Canada,Chile,China,Colombia,Congo,Costa Rica,Côte d'Ivoire,Croatia,Cuba,Curaçao,Cyprus,Czech Republic,North Korea,Democratic Republic of the Congo,Denmark,Dominican Republic,Ecuador,Egypt,El Salvador,Eritrea,Estonia,Ethiopia,Finland,France,Gabon,Georgia,Germany,Ghana,Gibraltar,Greece,Guatemala,Haiti,Honduras,Hong Kong,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,South Korea,Kosovo,Kuwait,Kyrgyzstan,Latvia,Lebanon,Libya,Lithuania,Luxembourg,Malaysia,Malta,Mauritius,Mexico,Moldova,Mongolia,Montenegro,Morocco,Mozambique,Myanmar,Namibia,Nepal,Netherlands,New Zealand,Nicaragua,Niger,Nigeria,North Macedonia,Norway,Oman,Pakistan,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russian Federation,Saudi Arabia,Senegal,Serbia,Singapore,Slovakia,Slovenia,South Africa,South Sudan,Spain,Sri Lanka,Sudan,Suriname,Sweden,Switzerland,Syria,Tapei,Tajikistan,Tanzania,Thailand,Togo,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Ukraine,United Arab Emirates,United Kingdom,USA,Uruguay,Uzbekistan,Venezuela,Vietnam,Yemen,Zambia,Zimbabwe,IntlAIR,IntlSEA
1,Units,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,ktperdaySO2,KtperdaySO2,KtperdaySO2
2,Base_em,0.02064453882337918,0.2157469652683014,0.18440486498630135,1.3375678230786823,0.0024595912178630133,2.631517012496726,0.12886680940216577,0.10636924791690412,0.021487667656895887,0.6190858266783837,0.18918214027398086,0.17685379750651076,0.02557818392939726,0.07704221064,0.5411750796849315,0.1312371543452055,4.674484329455232,0.014941722336383561,1.4692203282326113,0.13789051443013697,0.06552275509041097,2.6094691105955827,1.9867397693329316,84.65980694672855,0.4822057522978081,0.008311181537808219,0.03873260899605478,0.0892836012410959,0.11766054665601369,1.1790027124684934,,0.0567832434513085,0.5188129981125371,0.5415941289589041,0.11494799751917809,0.055372483621632405,0.48121138277141373,0.7092788633613425,2.626013750747398,0.12128804599068493,0.018880290987671234,0.026512524993125154,0.2520486252953397,0.4668233975726255,0.6058795328298703,0.05532805837123288,0.0321779952328219,1.331073366671955,0.1341940876669589,0.009188891586265754,0.6823261435279431,0.23969951927532052,0.060443246912328774,0.24525574158082195,0.8215454515651641,0.2619374784410793,0.026257878381628075,31.451514150502216,6.502653933989069,3.153986299344849,3.961646970479809,0.12147067338815624,0.1512933235468493,0.6635836295352907,0.18344339566882192,3.0488514475938437,0.438948906910548,4.264347744402739,0.1875914619178082,2.3098711548135777,,1.7554818685482187,0.15053399593923286,0.016336895665885556,0.5706864812440575,0.5079091325172878,0.036406202341689294,0.004461359350195719,1.4578175269602738,0.016124313414668492,0.10185076138361646,3.365391234549863,0.02069616193423014,0.2782066343178082,,1.0299829586426108,0.07479531532313974,0.1962798202454794,0.036444188006849315,0.10190423104109589,0.20488761023642998,0.1138553283436227,0.1290723016830137,0.0304443286309589,0.4853248620109589,0.17652113643308387,0.2182991487674447,0.14093994303890414,3.1492913046010136,0.21924562390438357,0.024999743036164385,0.5705212589408603,1.4140311028077044,1.9169985645731293,0.23097396768618744,0.04280995268450958,0.8518134041360228,6.4412465133479175,9.455879842969864,0.1661180515410959,,0.21204231115998626,0.11697232171861774,0.03842970246685122,7.968685507707647,,0.9999090144571805,0.35849539921178086,0.29157758846027393,0.056033348521013694,0.4407832243941972,0.07518998721302084,0.4274821503904111,3.198879205969488,0.023766106629506848,0.1749250075851507,1.9466919955648656,0.012361070957260275,0.016477139555295887,0.1570779033620548,3.900436883447162,0.06419156436712331,2.6255139605698092,0.3879578603856439,0.8589626026584939,23.432620477703253,0.1332509627809589,0.1848227865421918,0.9950891787580821,2.845709519915068,0.1763428224745479,0.35885199213150687,0.23780846310953427,0.5062637601803278,25.788333735902214
3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0010800728767123287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006171466639943498,-0.048709400930128204
6,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0010800728767123287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006171466639943498,-0.048709400930128204
7,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0010800728767123287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006171466639943498,-0.048709400930128204
8,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0010800728767123287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006171466639943498,-0.048709400930128204
9,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0010800728767123287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006171466639943498,-0.048709400930128204
